Frame #,Fast,Slow,Immotile
1,0,0,37
2,0,11,26
3,9,8,20
4,6,9,22
5,0,15,22
6,0,15,22
7,0,12,25
8,0,8,29
9,0,9,28
10,0,8,29
11,0,9,28
12,0,12,25
13,0,9,28
14,0,8,29
15,0,9,28
16,0,9,28
17,0,7,25
18,0,8,36
19,0,13,24
20,0,11,26
21,0,10,27
22,0,13,24
23,0,17,20
24,0,16,21
25,0,15,22
26,0,17,20
27,0,14,23
28,0,12,34
29,0,13,33
30,0,15,31
31,0,13,32
32,0,15,30
33,0,13,32
34,0,17,28
35,0,16,26
36,0,16,26
37,0,16,25
38,0,15,26
39,0,17,35
40,0,14,38
41,0,12,40
42,0,11,41
43,0,15,37
44,0,14,38
45,0,13,37
46,0,14,35
47,0,14,35
48,0,14,35
49,0,15,33
50,0,13,35
51,0,14,34
52,0,15,33
53,0,15,33
54,0,17,31
55,0,18,28
56,0,15,28
57,0,15,27
58,0,15,26
59,0,15,25
60,0,15,24
61,0,14,24
62,0,12,25
63,0,15,21
64,0,12,24
65,0,12,23
66,0,12,23
67,0,13,27
68,0,16,24
69,0,15,25
70,0,14,26
71,0,15,25
72,0,14,26
73,0,14,25
74,0,11,28
75,0,10,29
76,0,12,27
77,0,10,29
78,0,11,27
79,0,10,28
80,0,15,23
81,0,15,22
82,0,15,22
83,0,17,19
84,0,17,19
85,0,16,17
86,0,12,21
87,0,13,28
88,0,17,24
89,0,17,24
90,0,14,27
91,0,13,28
92,0,16,23
93,0,14,25
94,0,12,27
95,0,13,25
96,0,13,25
97,0,13,25
98,0,13,25
99,0,11,27
100,0,13,25
101,0,13,24
102,0,13,34
103,0,18,29
104,0,16,30
105,0,15,31
106,0,13,33
107,0,14,32
108,0,13,33
109,0,14,31
110,0,15,29
111,0,15,28
112,0,17,26
113,0,14,29
114,0,14,28
115,0,15,27
116,0,16,26
117,0,17,25
118,0,18,22
119,0,17,23
120,0,19,21
121,0,16,24
122,0,19,20
123,0,17,32
124,0,20,29
125,0,19,30
126,0,19,30
127,0,20,29
128,0,20,29
129,0,21,28
130,0,20,29
131,0,20,29
132,0,19,30
133,0,21,28
134,0,21,28
135,0,18,31
136,0,22,27
137,0,21,28
138,0,20,29
139,0,19,29
140,0,17,31
141,0,18,29
142,0,14,32
143,0,18,28
144,0,20,26
145,0,18,27
146,0,19,26
147,0,16,29
148,0,14,31
149,0,16,29
150,0,15,30
151,0,19,26
152,0,16,29
153,0,17,27
154,0,15,28
155,0,17,26
156,0,16,27
157,0,18,25
158,0,16,26
159,0,18,24
160,0,19,23
161,0,20,21
162,0,19,22
163,0,16,25
164,0,13,27
165,0,12,28
166,0,14,26
167,0,13,26
168,0,12,27
169,0,16,23
170,0,14,25
171,0,15,24
172,0,13,38
173,0,16,35
174,0,16,35
175,0,18,33
176,0,16,34
177,0,16,34
178,0,16,34
179,0,13,37
180,0,14,36
181,0,13,37
182,0,11,39
183,0,12,38
184,0,16,34
185,0,16,33
186,0,17,32
187,0,16,33
188,0,14,33
189,0,14,32
190,0,13,32
191,0,14,31
192,0,12,33
193,0,13,30
194,0,15,25
195,0,12,26
196,0,14,34
197,0,14,34
198,0,14,34
199,0,13,35
200,0,12,35
201,0,12,35
202,0,14,32
203,0,12,34
204,0,12,34
205,0,13,32
206,0,13,32
207,0,15,30
208,0,17,28
209,0,16,29
210,0,15,30
211,0,17,27
212,0,18,26
213,0,19,25
214,0,18,26
215,0,18,26
216,0,15,29
217,0,18,26
218,0,18,25
219,0,14,28
220,0,16,26
221,0,16,26
222,0,15,27
223,0,16,26
224,0,15,27
225,0,15,26
226,0,14,27
227,0,15,26
228,0,15,26
229,0,15,25
230,0,13,27
231,0,14,26
232,0,14,26
233,0,17,23
234,0,16,24
235,0,18,22
236,0,16,24
237,0,18,30
238,0,21,27
239,0,21,27
240,0,21,27
241,0,15,32
242,0,14,33
243,0,14,33
244,0,15,32
245,0,16,30
246,0,15,31
247,0,16,30
248,0,14,32
249,0,15,31
250,0,16,29
251,0,17,28
252,0,20,25
253,0,20,25
254,0,19,25
255,0,16,26
256,0,15,27
257,0,16,25
258,0,15,25
259,0,17,23
260,0,13,27
261,0,14,26
262,0,17,23
263,0,15,25
